IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
94.16.113.129,94.16.113.129,443,5.77,DE,FRA,107.94,110.53
152.53.12.245,152.53.12.245,8443,5.76,DE,FRA,92.79,105.19
152.53.153.86,152.53.153.86,8443,5.74,DE,FRA,116.78,260.19
152.53.146.92,152.53.146.92,8443,5.72,DE,FRA,96.69,108.27
194.48.250.224,2a12:bec4:1480:1a5::2,443,5.7,DE,FRA,91.89,101.96
37.120.191.25,37.120.191.25,443,5.68,DE,HAM,105.67,150.62
94.228.168.17,94.228.168.17,443,5.48,DE,FRA,90.34,110.73
193.26.157.56,193.26.157.56,443,5.35,DE,HAM,96.16,131.88
47.245.131.215,47.245.131.215,2053,5.31,DE,FRA,92.59,105.35
88.198.82.155,178.63.88.12,443,5.23,DE,FRA,100.27,126.01
2.26.51.106,2.26.51.106,443,5.18,DE,FRA,94.49,148.63
135.125.191.9,135.125.191.9,8443,5.17,DE,FRA,94.65,129.94
91.107.155.13,91.107.155.13,443,5.14,DE,CDG,105.7,145.86
37.120.191.200,37.120.191.200,443,5.09,DE,HAM,104.41,142.1
45.43.88.219,45.43.88.219,443,5.06,DE,FRA,96.35,123.64
91.107.155.13,91.107.155.13,8443,4.91,DE,CDG,111.49,133.35
37.221.196.43,37.221.196.43,443,4.88,DE,FRA,100.26,112.91
94.159.109.104,2a0b:4142:c8a::2,443,4.84,DE,FRA,88.77,109.03
94.159.101.193,2a0b:4142:51f::2,443,4.83,DE,FRA,89.39,126.73
152.53.146.92,152.53.146.92,443,4.69,DE,FRA,96.9,116.61
77.83.86.169,77.83.86.169,2053,4.63,DE,FRA,91.72,125.32
152.53.117.32,152.53.117.32,8443,4.62,DE,FRA,94.1,118.11
152.53.117.32,152.53.117.32,443,4.62,DE,FRA,94.76,113.71
2.26.1.135,2.26.1.135,443,4.52,DE,FRA,99.93,106.06
37.120.186.102,37.120.186.102,443,4.48,DE,FRA,99.17,120.84
37.120.191.200,37.120.191.200,8443,4.46,DE,FRA,100.19,117.29
46.101.107.201,46.101.107.201,443,4.39,DE,FRA,98.56,100.04
88.198.82.156,178.63.88.12,443,4.36,DE,FRA,98.2,120.29
47.245.131.215,47.245.131.215,443,4.34,DE,FRA,94.13,102.64
79.132.138.87,2a02:6b40:2000:149a::1,443,4.25,DE,FRA,106.0,117.98
162.221.196.42,162.221.196.42,443,4.23,DE,FRA,93.35,99.43
185.207.139.113,185.207.139.113,443,4.17,DE,WAW,91.33,121.78
135.125.191.9,135.125.191.9,443,4.15,DE,FRA,95.54,142.66
95.85.237.48,95.85.237.48,443,4.14,DE,FRA,98.37,120.09
152.53.224.23,152.53.224.23,8443,4.12,DE,FRA,96.06,116.45
5.231.45.40,5.231.45.40,443,4.05,DE,FRA,92.86,101.34
193.26.157.139,193.26.157.139,443,4.03,DE,FRA,110.17,170.5
31.76.244.246,31.76.244.246,443,4.02,DE,FRA,101.35,117.84
152.53.224.23,152.53.224.23,443,3.94,DE,FRA,99.01,117.76
94.159.106.11,94.159.106.11,443,3.83,DE,FRA,87.39,93.44
47.245.131.215,47.245.131.215,8443,3.8,DE,FRA,94.94,104.77
37.120.186.102,37.120.186.102,8443,3.75,DE,FRA,100.51,119.35
46.229.253.222,46.229.253.222,443,3.73,DE,FRA,97.34,105.59
49.12.237.71,49.12.237.71,443,3.72,DE,CDG,100.55,129.07
89.125.73.168,89.125.73.168,443,3.71,DE,FRA,90.22,101.49
88.99.189.60,88.99.189.60,443,3.66,DE,CDG,99.06,139.8
195.133.44.21,195.133.44.21,443,3.58,DE,FRA,94.58,102.77
91.199.118.151,91.199.118.151,443,3.56,DE,PRG,102.78,109.79
152.53.12.245,152.53.12.245,443,3.56,DE,FRA,93.65,114.37
95.164.123.31,95.164.123.31,443,3.53,DE,FRA,98.29,137.73
82.117.245.170,82.117.245.170,2053,3.42,DE,FRA,97.21,132.91
8.209.83.19,8.209.83.19,443,3.41,DE,FRA,94.98,101.99
178.250.191.208,178.250.191.208,443,3.4,DE,FRA,90.6,102.58
217.154.94.41,2a01:239:3bf:dd00::1,443,3.35,DE,WAW,111.49,139.92
95.181.174.88,95.181.174.88,443,3.34,DE,FRA,101.43,120.78
216.236.31.22,216.236.31.22,443,3.29,DE,FRA,96.7,106.31
91.199.118.151,91.199.118.151,2053,3.28,DE,PRG,104.17,110.04
2.26.60.27,2.26.60.27,443,3.23,DE,FRA,106.31,126.8
152.53.144.202,152.53.144.202,443,3.19,DE,FRA,100.83,141.82
87.251.88.57,87.251.88.57,443,3.18,DE,FRA,96.51,104.06
82.21.117.137,82.21.117.137,443,3.15,DE,FRA,92.97,99.09
152.53.247.161,152.53.247.161,8443,3.13,DE,FRA,108.05,112.16
194.87.199.13,194.87.199.13,443,3.12,DE,FRA,105.15,124.43
91.149.233.78,2605:e440:1::3:211,443,3.1,DE,FRA,95.75,151.66
159.195.22.104,159.195.22.104,8443,3.1,DE,FRA,107.29,111.89
72.56.111.177,72.56.111.177,443,3.1,DE,AMS,94.96,309.68
85.28.47.32,85.28.47.32,443,3.06,DE,FRA,91.04,177.27
49.13.64.206,49.13.64.206,443,3.05,DE,FRA,97.63,118.13
152.53.137.145,152.53.137.145,443,3.01,DE,FRA,96.73,116.69
109.122.198.64,2a0b:4141:820:494::2,443,2.99,DE,FRA,94.62,121.97
152.53.245.45,152.53.245.45,443,2.97,DE,FRA,95.98,114.25
62.60.216.31,62.60.216.31,443,2.95,DE,FRA,98.63,102.82
80.66.72.74,80.66.72.74,443,2.94,DE,FRA,95.0,101.51
94.159.100.136,2a0b:4142:3fc::2,443,2.91,DE,FRA,88.84,96.3
172.86.95.236,172.86.95.236,443,2.87,DE,FRA,93.28,99.98
37.1.194.138,37.1.194.138,443,2.85,DE,FRA,96.84,101.1
95.179.250.68,2001:19f0:6c01:14eb:5400:4ff:fe00:405,443,2.85,DE,FRA,89.79,103.5
138.249.8.78,138.249.8.78,443,2.84,DE,FRA,93.67,101.28
152.53.239.169,152.53.239.169,8443,2.82,DE,FRA,94.73,114.71
88.198.82.151,178.63.88.12,443,2.81,DE,FRA,99.99,123.7
93.123.84.194,93.123.84.194,443,2.8,DE,FRA,113.79,109.82
194.87.71.42,194.87.71.42,443,2.79,DE,FRA,92.33,99.43
113.30.191.181,113.30.191.181,443,2.78,DE,FRA,99.78,104.42
88.198.82.148,178.63.88.12,443,2.74,DE,FRA,101.25,135.12
185.248.143.21,185.248.143.21,443,2.72,DE,FRA,92.13,97.74
45.135.165.245,45.135.165.245,443,2.71,DE,FRA,96.19,127.07
91.149.222.113,91.149.222.113,443,2.69,DE,FRA,96.05,109.81
194.164.234.15,194.164.234.15,443,2.69,DE,FRA,93.38,114.59
152.53.142.246,152.53.142.246,8443,2.67,DE,FRA,97.78,112.31
85.121.52.186,85.121.52.186,443,2.66,DE,FRA,92.57,106.1
91.107.250.153,91.107.250.153,8443,2.66,DE,CDG,104.39,126.41
5.61.39.183,5.61.39.183,443,2.65,DE,FRA,94.34,112.99
94.141.123.243,109.122.197.45,443,2.64,DE,FRA,96.08,173.83
185.242.113.75,185.242.113.75,443,2.61,DE,FRA,92.68,100.37
64.188.79.4,2a12:bec4:1480:1a2::2,443,2.61,DE,FRA,96.57,123.69
194.87.71.141,194.87.71.141,443,2.59,DE,FRA,93.58,102.69
152.53.143.195,152.53.143.195,8443,2.58,DE,FRA,97.21,116.13
46.232.250.99,46.232.250.99,443,2.57,DE,FRA,94.75,103.43
5.39.255.78,5.39.255.78,443,2.54,DE,FRA,93.86,94.76
152.53.138.139,152.53.138.139,443,2.54,DE,FRA,95.67,113.71
109.122.198.127,2a0b:4141:820:4cb::2,443,2.54,DE,FRA,96.51,120.5
213.165.55.207,213.165.55.207,443,2.53,DE,FRA,95.05,104.61
104.248.23.44,104.248.23.44,443,2.51,DE,FRA,101.33,107.5
195.133.65.83,195.133.65.83,443,2.5,DE,FRA,90.37,103.13
57.129.47.52,57.129.47.52,443,2.47,DE,FRA,98.17,98.15
152.53.143.195,152.53.143.195,443,2.45,DE,FRA,94.85,118.37
89.58.15.204,89.58.15.204,8443,2.45,DE,FRA,101.2,116.15
88.198.82.153,178.63.88.12,443,2.45,DE,FRA,100.44,128.97
152.53.245.45,152.53.245.45,8443,2.41,DE,FRA,96.4,119.38
45.147.248.115,45.147.248.115,443,2.4,DE,FRA,94.65,107.42
152.53.177.55,152.53.177.55,8443,2.39,DE,FRA,94.4,114.11
91.107.158.77,91.107.158.77,443,2.38,DE,CDG,96.5,129.04
152.53.136.14,152.53.136.14,8443,2.38,DE,FRA,101.51,116.61
150.241.123.99,150.241.123.99,443,2.29,DE,FRA,96.05,106.3
37.221.196.43,37.221.196.43,8443,2.29,DE,FRA,98.4,109.46
91.199.118.151,91.199.118.151,8443,2.28,DE,PRG,96.11,115.48
85.121.53.39,85.121.53.39,443,2.26,DE,FRA,92.74,104.19
152.53.136.238,152.53.136.238,443,2.25,DE,FRA,101.89,108.02
31.192.237.42,31.192.237.42,443,2.24,DE,FRA,98.21,121.15
88.99.92.84,88.99.92.84,443,2.22,DE,FRA,97.59,122.0
5.75.182.89,5.75.182.89,443,2.21,DE,CDG,96.32,141.27
5.187.7.220,5.187.7.220,443,2.21,DE,FRA,93.09,106.67
185.66.165.51,185.66.165.4,443,2.21,DE,ARN,94.68,164.08
89.168.110.240,89.168.110.240,443,2.2,DE,FRA,93.3,126.19
144.31.62.254,144.31.62.254,443,2.19,DE,FRA,94.03,100.09
91.107.250.153,91.107.250.153,443,2.19,DE,CDG,100.62,131.26
152.53.138.139,152.53.138.139,8443,2.18,DE,FRA,94.97,112.74
156.226.174.20,156.226.174.20,443,2.15,DE,FRA,97.64,108.27
23.27.246.9,95.177.109.99,443,2.14,DE,FRA,93.73,116.48
152.53.137.145,152.53.137.145,8443,2.14,DE,FRA,96.02,117.65
193.37.70.63,193.37.70.63,443,2.12,DE,FRA,103.36,119.89
206.251.50.222,206.251.50.222,443,2.11,DE,FRA,96.88,105.59
213.108.198.116,213.108.198.116,443,2.08,DE,FRA,94.42,111.85
152.53.239.169,152.53.239.169,443,2.07,DE,FRA,104.43,108.45
152.53.136.238,152.53.136.238,8443,2.07,DE,FRA,101.15,108.95
89.40.117.143,89.40.117.143,443,2.07,DE,FRA,93.34,106.48
5.231.45.40,5.231.45.40,8443,2.06,DE,FRA,99.98,100.4
194.58.33.218,2a0f:cdc6:500:54::33:218,443,2.06,DE,FRA,92.82,100.47
152.53.142.246,152.53.142.246,443,2.05,DE,FRA,99.04,158.72
91.107.158.77,91.107.158.77,8443,2.05,DE,CDG,96.08,127.93
146.190.207.55,167.172.177.95,443,2.05,DE,FRA,92.03,99.3
152.53.136.14,152.53.136.14,443,2.05,DE,FRA,96.51,126.23
2.27.4.11,2.27.4.11,443,2.04,DE,FRA,100.27,138.63
77.239.99.29,77.239.99.29,443,2.02,DE,FRA,96.97,104.41
194.164.192.16,194.164.192.16,443,2.02,DE,TXL,109.68,117.21
194.99.20.245,194.99.20.245,443,1.94,DE,FRA,94.02,98.33
91.107.251.113,91.107.251.113,8443,1.93,DE,CDG,96.21,130.33
94.228.161.238,2a0f:cdc6:500:142c::2,443,1.91,DE,FRA,92.76,101.41
152.53.15.96,152.53.15.96,8443,1.88,DE,FRA,107.3,138.26
5.75.159.159,2a01:4f8:c0c:2cf7::1,8443,1.86,DE,CDG,95.59,130.91
159.195.22.104,159.195.22.104,443,1.85,DE,FRA,95.94,121.17
89.19.208.87,89.19.208.87,443,1.85,DE,AMS,101.6,313.25
109.120.177.229,109.120.177.229,443,1.81,DE,FRA,97.99,139.81
94.159.105.213,94.159.105.213,443,1.81,DE,FRA,121.18,104.94
185.246.222.239,185.246.222.239,443,1.78,DE,FRA,106.62,141.88
152.53.15.143,152.53.15.143,8443,1.74,DE,FRA,93.14,109.2
92.42.96.240,92.42.96.240,443,1.74,DE,FRA,92.53,112.34
46.225.149.10,46.225.149.10,443,1.72,DE,FRA,97.15,113.94
91.99.222.109,91.99.222.109,443,1.7,DE,FRA,100.78,123.93
152.53.15.96,152.53.15.96,443,1.7,DE,FRA,95.32,121.89
167.71.45.93,167.71.45.93,8443,1.67,DE,FRA,99.21,129.02
152.53.177.55,152.53.177.55,443,1.66,DE,FRA,94.86,106.75
193.124.92.58,193.124.92.58,443,1.66,DE,FRA,98.86,111.04
49.13.220.86,49.13.220.86,443,1.65,DE,FRA,101.82,113.39
188.245.161.141,2a01:4f8:c17:1e71::1,443,1.62,DE,FRA,99.08,122.63
94.16.113.171,94.16.113.171,443,1.62,DE,HAM,99.91,139.7
91.107.171.251,2a01:4f8:1c17:c311::1,443,1.62,DE,FRA,104.69,122.67
89.58.28.105,89.58.28.105,443,1.6,DE,FRA,116.27,107.85
62.60.216.169,62.60.216.169,443,1.58,DE,FRA,102.85,128.58
91.107.255.196,91.107.255.196,443,1.58,DE,CDG,96.95,131.63
94.159.110.41,2a0b:4142:d04::2,443,1.57,DE,FRA,93.51,101.52
163.5.187.118,163.5.187.118,2053,1.57,DE,FRA,92.22,145.4
159.69.92.30,2a01:4f8:c2c:6bdd::1,443,1.55,DE,CDG,97.45,133.49
77.90.45.78,77.90.45.78,443,1.55,DE,FRA,101.53,114.19
94.130.72.184,94.130.72.184,443,1.52,DE,CDG,101.24,132.29
45.129.242.17,45.129.242.17,443,1.51,DE,DUS,98.4,120.06
167.71.45.93,167.71.45.93,443,1.51,DE,FRA,95.58,120.83
77.239.98.122,77.239.98.122,443,1.51,DE,FRA,110.51,100.92
94.159.99.172,94.159.99.172,443,1.5,DE,FRA,89.14,102.73
188.34.205.158,188.34.205.158,443,1.5,DE,CDG,100.78,137.46
57.129.47.52,57.129.47.52,8443,1.5,DE,FRA,92.0,101.27
152.53.144.202,152.53.144.202,8443,1.49,DE,FRA,112.48,143.58
18.192.69.254,18.192.69.254,443,1.49,DE,FRA,97.88,94.88
91.107.255.196,91.107.255.196,8443,1.49,DE,CDG,97.16,140.65
37.221.198.204,37.221.198.204,8443,1.48,DE,FRA,100.47,111.81
89.58.13.46,89.58.13.46,8443,1.47,DE,FRA,143.51,125.28
185.244.40.219,185.244.40.219,443,1.47,DE,FRA,93.62,121.33
5.187.4.45,2a02:6b40:2000:288::1,443,1.47,DE,FRA,96.51,109.68
152.53.178.240,152.53.178.240,8443,1.46,DE,FRA,101.58,111.28
51.38.98.202,51.38.98.202,443,1.46,DE,FRA,91.71,101.38
103.56.84.189,103.56.84.189,443,1.44,DE,FRA,91.27,101.7
91.149.223.242,2605:e440:1::2:c3,443,1.44,DE,FRA,101.52,112.41
92.118.8.206,92.118.8.206,443,1.43,DE,FRA,96.22,103.17
195.58.38.95,2a0f:cdc6:500:f69::2,443,1.41,DE,FRA,94.99,104.31
152.53.15.143,152.53.15.143,443,1.41,DE,FRA,93.36,110.49
46.232.250.99,46.232.250.99,8443,1.4,DE,FRA,102.79,107.43
94.159.110.41,2a0b:4142:d04::2,8443,1.39,DE,FRA,87.71,108.87
194.180.188.184,194.180.188.184,443,1.37,DE,FRA,97.21,120.48
95.85.236.65,95.85.236.65,443,1.36,DE,FRA,99.47,122.9
195.54.33.164,195.54.33.164,443,1.36,DE,FRA,100.66,102.89
2.27.49.130,2.27.49.130,443,1.34,DE,FRA,97.89,131.29
167.172.177.95,167.172.177.95,443,1.34,DE,FRA,93.15,129.81
37.221.198.204,37.221.198.204,443,1.33,DE,FRA,100.3,112.84
94.141.123.231,94.141.123.231,443,1.33,DE,FRA,105.04,140.61
89.58.40.177,89.58.40.177,8443,1.31,DE,FRA,108.68,128.01
89.58.13.46,89.58.13.46,443,1.3,DE,FRA,101.71,123.68
142.132.178.99,142.132.178.99,443,1.3,DE,FRA,100.17,120.06
130.61.12.163,130.61.12.163,443,1.3,DE,FRA,97.88,103.48
94.159.109.242,2a0b:4142:cce::2,443,1.29,DE,FRA,88.82,97.9
152.53.118.28,152.53.118.28,443,1.27,DE,FRA,97.41,129.54
146.19.207.205,146.19.207.205,443,1.23,DE,FRA,115.2,132.08
194.247.187.244,194.247.187.244,443,1.23,DE,FRA,96.19,118.97
77.239.100.49,77.239.100.49,443,1.23,DE,FRA,99.81,148.95
89.58.15.204,89.58.15.204,443,1.23,DE,FRA,99.4,112.56
145.223.100.111,2a02:4780:41:dc16::1,443,1.2,DE,FRA,101.86,129.39
94.159.101.254,2a0b:4142:557::2,443,1.19,DE,FRA,91.86,136.04
91.108.243.115,91.108.243.115,443,1.18,DE,FRA,98.25,185.05
87.121.218.54,87.121.218.54,443,1.18,DE,FRA,127.46,138.03
138.124.230.104,138.124.230.104,443,1.18,DE,FRA,103.06,137.02
95.164.123.31,95.164.123.31,2053,1.16,DE,FRA,97.62,140.2
152.53.118.28,152.53.118.28,8443,1.16,DE,FRA,96.02,126.89
72.56.108.136,72.56.108.136,443,1.16,DE,AMS,95.54,309.5
116.202.132.205,2a01:4f8:231:4c65::2,443,1.15,DE,FRA,99.69,164.7
152.53.247.161,152.53.247.161,443,1.13,DE,FRA,103.29,103.27
91.107.148.154,91.107.148.154,443,1.13,DE,CDG,124.7,150.04
94.16.113.171,94.16.113.171,8443,1.13,DE,HAM,108.97,133.98
2.26.62.165,2.26.62.165,443,1.1,DE,FRA,102.66,122.14
194.180.188.241,194.180.188.241,443,1.09,DE,FRA,115.6,147.6
91.107.251.113,91.107.251.113,443,1.09,DE,CDG,101.19,127.18
85.234.100.221,85.234.100.221,443,1.08,DE,FRA,93.09,132.95
31.77.126.2,67.220.82.10,443,1.06,DE,FRA,205.18,205.05
64.188.56.203,64.188.56.203,443,1.04,DE,AMS,91.38,302.69
154.198.12.10,67.220.82.10,443,1.04,DE,FRA,208.98,204.27
72.56.106.58,72.56.106.58,443,1.01,DE,AMS,89.49,312.54
2.26.23.181,2.26.23.181,443,10.75,FI,ARN,173.01,291.26
87.121.82.161,87.121.82.161,443,8.84,FI,TLL,138.6,204.67
31.56.227.231,31.56.227.231,443,8.7,FI,ARN,117.49,154.37
65.109.200.234,65.109.200.234,443,8.13,FI,AMS,159.54,202.84
185.218.194.135,185.218.194.135,443,7.79,FI,HEL,164.72,174.18
62.60.250.39,62.60.250.39,443,7.67,FI,MXP,108.27,198.79
135.136.181.199,135.136.181.199,443,6.62,FI,ARN,102.97,137.63
185.231.206.236,2a09:bac5:31ca:505::80:191,443,6.59,FI,ARN,110.0,196.51
109.206.236.211,109.206.236.211,443,6.56,FI,ARN,114.43,178.77
104.252.127.144,104.252.127.144,443,6.5,FI,ARN,112.77,161.16
31.57.27.38,31.57.27.38,443,6.35,FI,ARN,111.22,135.14
38.244.136.91,38.244.136.91,443,6.29,FI,ARN,109.28,158.83
185.221.163.129,185.221.163.129,443,6.14,FI,ARN,110.33,139.95
31.57.105.90,31.57.105.90,443,6.13,FI,ARN,115.19,161.39
46.226.164.229,46.226.164.229,443,6.09,FI,MXP,120.08,209.14
188.215.31.191,188.215.31.191,443,6.03,FI,ARN,109.86,140.3
31.57.27.38,31.57.27.38,8443,5.7,FI,ARN,110.8,134.37
109.206.243.130,109.206.243.130,443,5.7,FI,ARN,233.6,278.16
77.221.144.71,77.221.144.71,2053,5.69,FI,ARN,111.7,125.95
92.118.234.232,92.118.234.232,443,5.63,FI,ARN,135.25,146.86
31.57.105.140,31.57.105.140,443,5.61,FI,ARN,110.19,156.94
91.211.114.202,91.211.114.202,443,5.51,FI,TLL,104.14,115.04
79.137.184.183,79.137.184.183,443,5.39,FI,ARN,118.95,251.58
77.221.144.71,77.221.144.71,443,5.35,FI,ARN,104.39,125.72
65.109.188.1,65.109.188.1,8443,5.33,FI,AMS,114.74,183.34
195.96.156.240,195.96.156.240,443,4.9,FI,HEL,106.87,123.35
46.8.64.228,46.8.64.228,443,4.86,FI,ARN,113.13,114.58
150.251.152.227,150.251.152.227,443,4.81,FI,HEL,123.23,133.43
193.68.88.242,193.68.88.242,443,4.78,FI,ARN,127.05,147.48
46.62.164.80,46.62.164.80,8443,4.6,FI,AMS,116.9,175.34
138.124.15.220,138.124.15.220,443,4.55,FI,ARN,105.08,132.01
217.60.60.49,217.60.60.49,443,4.5,FI,ARN,109.63,229.34
65.109.188.1,65.109.188.1,443,4.36,FI,AMS,122.35,182.92
31.56.206.215,31.56.206.215,443,4.34,FI,ARN,105.63,129.36
66.151.35.81,66.151.35.81,443,4.32,FI,HEL,110.8,132.29
66.151.34.156,66.151.34.156,443,4.25,FI,HEL,111.12,123.6
65.108.245.196,65.108.245.196,443,4.21,FI,HEL,114.42,123.45
89.35.129.86,89.35.129.86,443,4.19,FI,HEL,109.39,133.44
194.34.236.45,194.34.236.45,443,4.18,FI,ARN,106.42,122.22
192.145.29.16,192.145.29.16,443,4.12,FI,HEL,105.2,112.84
87.121.105.219,87.121.105.219,443,4.04,FI,HEL,124.51,183.6
87.121.105.12,87.121.105.12,443,3.79,FI,TLL,104.53,120.3
217.19.4.242,217.19.4.242,443,3.76,FI,ARN,110.0,141.4
206.245.135.117,206.245.135.117,443,3.75,FI,ARN,117.15,152.74
45.14.165.234,45.14.165.234,8443,3.74,FI,HEL,106.22,114.07
144.31.239.123,144.31.239.123,443,3.6,FI,MXP,115.27,214.85
185.94.167.223,185.94.167.223,443,3.5,FI,ARN,106.76,125.86
65.109.213.219,65.109.213.219,443,3.5,FI,AMS,122.29,181.64
31.56.197.86,31.56.197.86,443,3.48,FI,ARN,110.76,138.23
64.188.93.187,64.188.93.187,443,3.41,FI,ARN,118.62,150.69
93.152.207.239,93.152.207.239,443,3.34,FI,TLL,103.0,112.34
138.124.80.249,138.124.80.249,8443,3.32,FI,HEL,100.06,116.35
185.228.232.247,185.228.232.246,443,3.31,FI,HEL,111.49,150.69
193.84.3.54,193.84.3.54,443,3.3,FI,HEL,105.48,133.99
45.14.165.234,45.14.165.234,443,3.3,FI,HEL,118.67,131.96
92.118.234.39,92.118.234.39,443,3.29,FI,TLL,162.57,142.47
92.42.102.109,92.42.102.109,8443,3.29,FI,HEL,99.16,149.44
81.19.139.230,81.19.139.230,443,3.27,FI,ARN,110.37,119.32
151.245.140.204,151.245.140.204,443,3.25,FI,ARN,116.95,133.58
45.12.146.12,45.12.146.12,443,3.22,FI,ARN,118.78,134.09
82.40.58.141,82.40.58.141,443,3.16,FI,HEL,123.9,157.14
178.17.53.85,178.17.53.85,443,3.14,FI,ARN,100.59,119.09
65.109.200.234,65.109.200.234,8443,3.07,FI,AMS,145.9,161.62
46.62.164.80,46.62.164.80,443,3.06,FI,AMS,122.3,182.77
144.31.126.232,144.31.126.232,443,2.96,FI,ARN,118.7,140.55
2.26.23.190,2.26.23.190,443,2.94,FI,MXP,119.11,214.09
46.8.228.165,46.8.228.165,443,2.93,FI,ARN,108.53,125.99
31.13.208.225,31.13.208.225,443,2.86,FI,ARN,128.37,192.77
185.188.181.14,185.188.181.14,443,2.86,FI,ARN,119.62,140.91
185.230.190.29,185.230.190.29,443,2.81,FI,ARN,106.77,165.23
65.109.182.62,65.109.182.62,443,2.81,FI,AMS,117.33,177.72
65.109.213.219,65.109.213.219,8443,2.8,FI,AMS,117.11,175.27
89.35.119.210,89.35.119.210,443,2.78,FI,ARN,121.47,171.29
45.80.231.90,45.80.231.90,443,2.75,FI,ARN,107.42,134.83
46.38.156.183,46.38.156.183,443,2.73,FI,ARN,135.89,164.96
66.151.35.248,66.151.35.248,443,2.72,FI,ARN,108.7,149.62
138.124.80.249,138.124.80.249,443,2.7,FI,TLL,110.43,121.36
109.206.243.100,109.206.243.100,2053,2.68,FI,ARN,111.6,142.36
93.152.207.174,93.152.207.174,443,2.68,FI,ARN,128.54,147.86
2.27.42.167,2.27.42.167,443,2.67,FI,ARN,142.96,242.16
65.109.205.229,65.109.205.229,8443,2.66,FI,AMS,117.68,177.7
168.222.253.41,168.222.253.41,443,2.66,FI,ARN,125.72,125.22
94.183.190.163,94.183.190.163,443,2.55,FI,ARN,105.63,198.92
65.109.205.229,65.109.205.229,443,2.54,FI,AMS,116.42,176.37
31.57.61.252,31.57.61.252,443,2.53,FI,ARN,115.09,187.27
91.217.76.192,91.217.76.192,443,2.5,FI,ARN,112.2,143.0
2.26.105.80,2.26.105.80,443,2.49,FI,ARN,119.81,141.59
65.109.182.62,65.109.182.62,8443,2.49,FI,AMS,121.92,179.6
193.23.201.59,193.23.201.59,443,2.46,FI,ARN,120.85,166.09
65.21.62.180,65.21.62.180,443,2.45,FI,HEL,117.56,124.02
45.67.202.173,45.67.202.173,443,2.44,FI,ARN,115.34,158.04
95.217.237.91,95.217.237.91,443,2.44,FI,HEL,124.09,134.93
193.164.155.76,193.164.155.76,443,2.42,FI,ARN,116.26,143.83
31.57.106.126,31.57.106.126,443,2.42,FI,ARN,112.69,140.61
23.236.111.12,23.236.111.12,443,2.42,FI,HEL,117.78,127.93
217.179.49.217,217.179.49.217,443,2.37,FI,ARN,112.49,157.53
212.237.219.37,212.237.219.37,443,2.35,FI,HEL,113.23,137.61
185.109.21.151,185.109.21.151,443,2.33,FI,ARN,103.55,131.64
31.76.245.201,31.76.245.201,443,2.29,FI,HEL,120.7,115.55
213.159.68.51,213.159.68.51,443,2.27,FI,ARN,113.14,136.44
193.168.198.220,193.168.198.220,443,2.26,FI,ARN,104.01,132.21
2.26.52.242,2.26.52.242,443,2.26,FI,ARN,100.86,182.0
185.112.82.28,185.112.82.28,443,2.2,FI,ARN,106.26,200.45
151.241.155.138,151.241.155.138,443,2.2,FI,ARN,114.4,149.84
94.156.180.27,94.156.180.27,443,2.18,FI,ARN,117.17,163.44
109.206.243.100,109.206.243.100,2096,2.17,FI,ARN,120.17,142.4
87.239.250.189,87.239.250.189,443,2.16,FI,ARN,112.22,166.35
195.96.156.92,195.96.156.92,443,2.15,FI,ARN,114.07,131.65
31.77.224.4,23.236.111.4,443,2.13,FI,HEL,115.56,157.06
46.20.106.214,46.20.106.214,443,2.13,FI,HEL,111.26,120.36
77.42.94.136,77.42.94.136,443,2.12,FI,HEL,116.71,121.46
31.59.106.71,31.59.106.71,443,2.12,FI,ARN,113.55,142.42
43.245.225.23,43.245.225.23,8443,2.12,FI,ARN,113.08,148.44
195.26.230.134,195.26.230.134,443,2.1,FI,HEL,121.34,130.41
212.237.219.99,212.237.219.99,443,2.08,FI,ARN,115.93,134.69
95.164.55.206,95.164.55.206,443,2.07,FI,TLL,116.21,135.37
144.31.212.58,144.31.212.58,443,2.06,FI,TLL,127.47,136.8
109.206.243.100,109.206.243.100,443,2.05,FI,ARN,115.32,140.07
46.8.232.233,46.8.232.233,443,2.05,FI,ARN,113.29,158.63
84.22.149.57,84.22.149.57,443,2.03,FI,ARN,127.9,228.21
45.12.70.200,45.12.70.200,443,2.02,FI,TLL,103.37,133.65
193.124.182.211,193.124.182.211,443,2.01,FI,ARN,105.95,122.31
94.159.114.163,94.159.114.163,443,1.99,FI,ARN,113.02,131.3
92.42.102.109,92.42.102.109,443,1.98,FI,HEL,118.63,166.53
31.57.92.60,31.57.92.60,443,1.95,FI,ARN,105.44,122.51
46.8.237.3,46.8.237.3,443,1.93,FI,ARN,125.54,134.4
194.39.110.17,194.39.110.17,443,1.91,FI,ARN,102.58,112.84
31.57.105.164,31.57.105.164,443,1.89,FI,ARN,115.15,132.85
185.174.40.67,185.174.40.67,443,1.88,FI,ARN,118.01,129.66
43.245.225.23,43.245.225.23,443,1.88,FI,ARN,115.71,144.9
109.206.243.100,109.206.243.100,2087,1.87,FI,ARN,118.78,139.77
94.237.116.111,94.237.116.111,443,1.83,FI,HEL,113.57,115.87
89.167.77.55,89.167.77.55,443,1.78,FI,HEL,119.23,157.25
167.17.40.47,167.17.40.47,443,1.75,FI,HEL,119.46,138.76
109.248.163.191,109.248.163.191,443,1.72,FI,ARN,121.08,151.44
