IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
27.50.48.73,20.127.239.249,2096,2.88,US,IAD,22.74,11.94
38.105.28.250,38.105.28.250,443,2.83,US,LAX,69.55,66.02
23.94.56.22,23.94.56.22,443,2.81,US,SEA,77.8,108.46
172.67.208.171,20.127.239.249,2053,2.77,US,IAD,11.11,50.96
35.247.124.181,8.229.235.179,443,2.76,US,SEA,73.34,118.71
128.199.0.28,128.199.0.28,443,2.69,US,SJC,76.41,83.14
103.196.20.14,103.196.20.14,443,2.6,US,PHX,66.65,73.52
31.59.136.223,31.59.136.223,443,2.59,US,LAS,75.7,152.9
104.129.167.255,20.127.239.249,443,2.57,US,IAD,3.69,17.01
104.234.50.53,104.234.50.53,443,2.52,US,IAD,3.31,20.82
72.249.204.157,72.249.204.157,443,2.5,US,LAX,77.83,80.55
163.192.22.57,163.192.22.57,443,2.49,US,SJC,72.05,97.24
96.44.177.208,96.44.177.208,443,2.45,US,LAX,62.05,75.62
69.12.74.137,69.12.74.137,443,2.4,US,LAX,69.21,82.73
27.50.48.73,20.127.239.249,2083,2.39,US,IAD,2.48,18.46
137.184.228.85,137.184.228.85,443,2.37,US,SJC,69.06,84.96
216.36.127.121,216.36.127.121,443,2.32,US,LAX,78.89,77.04
199.19.110.128,199.19.110.128,443,2.12,US,LAX,64.68,73.38
34.4.108.104,34.4.108.104,443,2.12,US,SEA,91.45,100.61
143.198.52.252,143.198.52.252,443,2.07,US,SJC,80.4,79.33
154.64.235.151,154.64.235.151,443,2.04,US,LAX,60.66,68.14
192.3.155.217,192.3.155.217,443,1.88,US,YYZ,21.83,104.57
34.105.49.234,34.182.50.178,443,1.87,US,SEA,69.61,169.51
147.182.229.237,147.182.229.237,443,1.84,US,SJC,72.87,81.8
38.65.9.4,38.65.9.4,443,1.74,US,LAX,59.52,66.09
34.82.76.253,8.229.235.179,443,1.74,US,SEA,76.02,114.62
165.1.66.231,2a09:bac1:7680:28::1d3:cd,443,1.7,US,SJC,70.74,76.37
23.165.248.75,23.165.248.75,8443,1.69,US,LAX,68.34,85.3
107.172.25.160,107.172.25.160,443,1.63,US,ATL,21.19,40.23
45.202.240.122,45.202.240.122,8443,1.6,US,LAX,93.26,69.44
27.50.48.73,20.127.239.249,2087,1.59,US,IAD,9.45,12.27
